Issue id	Summary
36529	TEST & QUIZZES -CALCULATED QUESTION LOOKUP FROM TABLE
32090	TEST & QUIZZES (NUMERIC) FEEDBACK
27721	Numerical response weights
32088	Calendar border is missing
53950	Imported announcement's scheduled emails aren't sent and may overwrite the original announcement's email when editing
40991	Unable to set Home tool to required in toolOrder.xml
36522	Moving LHS tool bar when scrolling doesn't move the subsites as well
49643	Assignment allows Collaborative Group Submission AND Display to Site: Error
58209	Allow column properties on collapsed section to be edited
49641	"Content review, compilatio : Submissions to be processed on assignments due date"
27702	403 error accessing content on group pages if group membership is modified
36561	New Tool: Community Data Exchange
23221	announcements RSS feed should not include long description 
62486	"In the minimised view of Site Stats > Lessons, the links shown are not clickable (whereas they are in the other sections)."
58196	"In the expanded view of Lessons in Site Stats, clicking on ""By Page"" tab: throws the wrong page"
36555	"headscripts.js - Uncaught TypeError when clicking print icon in Assignments, Tests, & Surveys (Mneme)"
53915	End Time value not displayed when editing Calendar Event
12101	Errors starting 2 app servers concurrently from data fixup
53882	Scoring text more precise in assessments based in question pools
49588	Help popup frames go wrong when resized (Chrome)
40996	rewrite URLs within Home tool
45321	Sync is failing for an internal user
11894	"When the setting ""Use dates and times for evaluations, otherwise use dates only"" unchecked time still displays and is confusing"
62492	Enhance Schedule text on Edit Tools page
23211	allow one to copy a list of site member's usernames in Site Info
62536	Add detailed reporting for question analysis
62530	Scrolling down on mobile device sometimes creates two different layers of overlapping text
58191	Adding an image through the CK Editor is cumbersome
53900	Drag and drop ability to reorganise questions
40957	Rewrite urls to YouTube to not use the http protocol
36544	"Stop auto-adding target=""_blank"" to the site description when https link is added via Site Info"
58167	System breaks down while importing the lessons 
23176	Sorting in Sakai should use the user's locale
53863	Site groups based on provider IDs don't update straight away.
36543	tool-reset URL Incorrect
23162	Syllabus redirect frame is not full height
58198	Long custom site titles spill out of site button/banner and change font
40982	date picker is cutting off the bottom of the month/year dropdowns
36537	"with sakai 11.1 code seeing errors in tomcat catalina, localhost logs"
40975	Question Progress drawer overlaps large images
36533	Large images in Hot Spot Questions push Edit and Remove buttons off page
27681	PDF export should use American letter size instead of A4 for USA locales
45300	extracting ZIP files has issues with the API design
40964	addResource needs to handle file name too long
45296	Duplicate signup buttons at the top of the export page
62438	"Alignment Issues while using Embed forums, announcements features."
32083	Difficult to read Forum post- one paragraph is displayed in one line in mobile devices
58174	Assignments / peer reviewer comments text field
45285	Improve iframe resizing
62479	allow one to copy a list of site member's usernames in Site Info
23156	HotSpot Question Type Usability Issue
23154	Stack trace on the bottom of every page in master if you don't run the 12 conversion script
32064	"Signup only accepts email addresses when assigning attendees, allow to search by display/user id"
45323	Access user cannot upload to resources
58212	high CPU and dbpool spike with Signup tool
27675	Attachments Disappear when Creating Group Forums
53847	Null Exception while submit the Assessment
32048	Javascipt messages not internationalized
40892	Uploading files to  multiple dropbox folders (by group) doesn't work for all students
36493	Set default antisamy behavior to encode instead of remove
27660	Some actions are disabled if you toggle a folder
58188	Centralize JS/CSS HTML head creation
62433	Improve button consistency in forums
36481	Delete option when creating folders doesn't work properly
32026	"Add ""Subject"" in the list of emailtemplate"
27651	NPE when locale is null
62430	Course Start Date
58178	Administrator role in course
32012	Null pointer exception when viewing an announcement linked with an assignment (If the assignment tool is later removed)
58164	Submit after preview in assignments won't work even if honor code checkbox was clicked before entering preview
36503	Improve Roster Bundle Management
32023	Change CKEditor defaults to ensure responsiveness
23131	Improve CKEditor Smiley Configuration
49550	HTML tags rendered by Samigo in the Fill in Blank questions (i.e. in between the {})
36495	Redefine permissions in Sign-Up tool
17461	Broken 'Close Window and Exit' button when submitting an assessment started through My Workspace - Dashboard
32062	Reset password doesn't have institutional logo
62482	Subsite title gets cut on mobile view
27568	Sakai Entity Broker REST Implementation test fails
17709	Provide alternative text for images - Dashboard icons
17700	"Ensure ARIA roles, states, and properties are valid-Dashboard"
23146	"Feature Request - Gradebook - Add a ""Penalty"" option for Gradebook items"
62464	Gradebook category doesn't automatically adjust to size
45244	No alert message given when syllabus added with blank 'Title'
53799	Viewing Topics: extra column/sorting icon for list of conversations posted
45237	Adding attachments to a topic: 'No attachments yet' text is removed but empty blue box is still shown 
40891	Upload file bar covers filename when uploading through Drop Box
23129	Missing check null before new file
49548	jconsole error adding pictures in the Profile tool
45233	jconsole error viewing user information popup (hover mouse over username) if user has profile image
53790	General configuration table for content review activities
27587	oracle 10.5 conversion script - cannot alter column type because it contains data
62432	Malformed unique constraint in Oracle 11 conversion script
32019	File Upload question: Upload button should be disabled until a file has been chosen
27584	Narrow profile pictures are shown as tiles in Log Out drop down menu 
62426	No alert message is given when web link is created without any URL.
62424	"You are not in a maintainer role in any course sections. Therefore, you cannot create any course sites at this time."
53825	Spaces needed after colons
62423	Sites waffle dropdown not working on Test Settings page
53823	"""Sort by ending date/ modified date"" columns do not have any data in reorder announcements"
12555	email reminder sent to all students instead of non-respondent
32007	Create new events that differentiate the site.upd event
45216	Tests & Quizzes - Add assessment setting to decide impact of extra credit on total points possible
45213	Next button on a Lessons subpage does not work as expected 
12387	How to solve error messgaes in evaluation tool
36446	An undo button is highly desirable   
23094	please use lazy to CXF
62418	please use lazy to samigo
49557	Site drawer overlaps with user/profile menu
36492	Unclear due/retract date message shown to students beginning quiz
32049	"When Home, mouse-over site names are invisible"
58137	Left hand tool list moves when user scrolls - unable to open all tools in a long list
45259	Public Announcement is not displaying to users
49546	How to resolve exception in Evaluations tool?
45252	Signup does not generate an alert re Schedule not being present
58124	"test & quiz samigo : if the group title contains the character "","" with Assessment released to"
49543	"When writing a message, the List of recipient cut"
23066	Delete item warning: Icon out of alignment
62383	Incorrect error message displayed when adding a new assignment through Lessons tool
49540	Import From File (xml/QTI export from other Sakai server) Into Tests & Quizzes is Broken
27590	TAs cannot grade Assignments through the Assignments tool
23123	Content Review inline submission retro activation
53794	jconsole errors opening Section Info tool
32024	Adding test to GBNG: no place to assign category
45238	"Change description for GBNG in ""Manage Tools"" screen."
27583	Can't add multiple citations in Resource at once
36464	Site participants not displayed in 'Worksite Setup' when 'Prev' or 'Next' button is clicked.
27579	Syllabus has com.sun.faces.verifyObjects enabled.
32011	"""Table Properties"" freezes while inserting table into syllabus via the CKeditor. "
23111	Tests & Quizzes - Setting Default Adjustments
40881	Cannot publish the syllabus for 'bulk add' with start and end date being same.
32006	Assignments associated with the same GBNG item automatically given same grade
32003	Sorting options behave differently/don't work at all in Grade Report tab
23103	"Errors when double-clicking on buttons within the interface (such as the ""Remove"" button in the Trash)"
31986	WebDAV Upload Fails
53819	Issue with 'Uploading ZIP files'
62385	Condense Add Participants workflow to two screens
53814	"collapsing the confirm page for Edit Site Infor, Manage Tools, Add Participant into previous page"
49497	"Tests & Quizzes - ""Require Rationale"" is not a required element once enabled"
53801	Unable to copy an announcement that was created by the same thread
12549	Evaluation results viewable datepicker not working
23105	Duplicate use of oracle sequence in Lesson Builder
11722	Deadlock when group is created in template
62379	Set default target of 'suggest feature' to be the apereo Sakai farm landing page
23122	Adding Rubrics to Sakai Samigo and Assignments
45224	Message Center Notifications: extra blank column
62397	IMS Content Package Not Imported
36444	Lesson Tool - Add Question Function Request
31978	Box Integration
49515	Favorites & Organize Favorites show -1 
23100	"Clicking ""Add a Category"" unnecessarily takes user to top of page"
53750	"""View Site As"" drop down menu is clickable but mouse doesn't change"
40851	Move actual Calendar up on screen
62370	edit published assessment Multiple choice multiple selection to multiple choice single selection grading issue
45200	"""Invalid URL"" alert appears when adding multiple instances of Web Content tool"
40867	"on first launch, a pop-up containing the web content link to an external web site is blocked by the browser"
36418	Selecting gradebook item in Forum Grading
36405	"""Search"" in roster tool only works when selecting from dynamic results - search button itself only resets tool"
53741	"Survey Matrix Question missing space before ""Column(forced ranking)"""
49490	All Purpose Item doesn't use CKEditor
36399	"Student view - Screen title still displays as ""Assignment List"""
36382	Purpose and function of Options unclear
62331	Inconsistent breadcrumbs in Messages
23029	"Download All- ""Include..."" option doesn't work"
36335	Event time format is inconsistent for events occurring Today and Tomorrow
49418	Tool title can be set but is never displayed
36328	Syllabus: Print Individual Items
27531	In the Syllabus tool clicking print view and then view as student changes the main window inappropriately
62350	Change Wording: Add to Save as Draft
58038	Some URLS do not work using the redirect option in certain conditions
31918	Statistics Tool - Reports - Printing View
27505	Show Model Answer field in Assignments when it is set to be displayed to students
40798	Roster / add permission so the print feature can be turned on/off by role
31902	"Assignment link in Calendar event takes you to the Assignment List, not the assignment itself."
45167	Exam-type events have same icon as Hidden items
36347	View in Site shows current week in Calendar tool regardless of actual event date
53739	"In Publish (Private) tab, saved file titled 'schedule.ics' - should be 'calendar.ics'"
49433	Newly created message would not send to instructor and student
36338	"""User Audit Log"" page in Site Info has no Menu bar"
62339	contributed syllabus integration with Oracle SIS
45114	illegal options combinations in assignments for turnItin
62311	"When adding announcement, Access heading has no information displayed"
53685	Duplicate Assignment changes value of Gradebook
49417	Tabs in Preferences tool have extra padding
12379	Evaluation report not showing Overall Average of Means. 
31927	getInternalDirectUrlToUserConnections takes you to user's profile homepage.
27491	getInternalDirectUrlToUserWall doesn't take you to the user's wall
22997	Assign appropriate permissions for Sign Up tool
62263	Create Duplicate Site Webservice
62259	Index the sakai_event table
62255	Changing a profile photo will override Gravatar configuration
27484	Wrong Text in Submit Button when resubmitting an assignment
27478	"Matching ""match"" when written in more than once will categorize it as a separate category."
53671	Forums / students ability to add topics can lead to instructor limited access
40762	dashboard buttons covering underline when toggled
58035	Hovering over menu options of collapsed left menu bar leaves text unclickable and behind other UI pieces
58018	Announcements View dropdown box cut off 
53717	Collapse Tool on Tab Panel doesn't show as clickable on mouseover
22972	No Print to printer option
40738	Portal menu width too small
36303	Honor Pledge does not show up in Test and Quizzes
53702	Lessons content upload size max limit check before uploading to temp
40733	Content Review error when trying to create assignment doesn't disappear
49385	Button Layout in Mercury Calendar
36287	Alt text for many left menu bar items is inaccurate/unrelated
49381	Null Pointer Exception when navigating to newly created page via URL
45097	"""Add Gradebook Item"" button returns error that the function localDatePicker is undefined "
40717	Tools List / Site List hidden behind siteHierarchy yet still clickable
31859	CSS Misalignment - Main Page
27489	checkboxes in “Options” column on Home tab partially hidden
22951	Top navigation tabs are misaligned on Assignments page
62249	Calendar List of Events Not Properly Labeled
45095	Duplicate Site button covered by Link and Help buttons
36278	"Quote Characters (' and "") Not Handled Properly in Sites"
22945	Number of messages unread/posted not displayed in Topic
62302	Clean (security filter) HTML mail as it leaves Sakai
36310	Signup tool performance issues
57952	LTI (iFrame): Extended Matching Items. Removing option goes back to assesment Edit
45129	"""Site Unavailable"" site is shown on sites menu, ""Other"" section"
27441	Incorrect sequence values can lead to a variety of problems
36296	Add the functionality to have a topic be visible BUT not accessible until a specified date.
57929	Link & Help buttons in Site Info overlap the tab navigation links
31881	Cannot create worksite - error on clicking worksite setup
53695	Created course site is redirected to error page in Sakai 11.
57965	"announcements, assignments: permissions page doesnt have tabs"
53686	"""Move thread(s)"" link is visible to students in Forums"
45064	content loss on image paste
22991	Forums / grading screen will not close in IE
57953	Incorrect forum message table sort by date column
40750	Bad choice of lock object
36324	Bad choice of lock object
31851	Bad choice of lock object
27389	Indefinite wait
22987	Check of thread-shared field evades lock acquisition
62287	Check of thread-shared field evades lock acquisition
57946	Check of thread-shared field evades lock acquisition
49388	Check of thread-shared field evades lock acquisition
45056	Check of thread-shared field evades lock acquisition
40746	Check of thread-shared field evades lock acquisition
36323	Check of thread-shared field evades lock acquisition
31846	Check of thread-shared field evades lock acquisition 
27385	Check of thread-shared field evades lock acquisition
22978	Jump to last saved question after resuming assessment
12986	Stacktrace and parameter error with too many groups
12087	Assigning evaluationt to sites doesn't make evaluation available to students
45044	Reproducible string out of bounds error - Gradebook
40731	Reproducible String outofbounds error in JSF
53641	Section Info: Category options not available
12544	Import Old evaluations data while upgrading to newer version
62268	Preferences / reorder sites in customize tabs issue
57981	CLONE - Profile image cannot be selected from Pictures if file type is .png
53630	Add elFinder support to Mneme
